station_id,station_name,state,grantee_name,search_hint,notes
kentucky-public-radio-inc,"Kentucky Public Radio, Inc.",KY,WFPK-FM,"Kentucky Public Radio, Inc. audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
appalshop-inc,Appalshop Inc.,KY,WMMT-FM,Appalshop Inc. audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
public-radio-inc,"Public Radio, Inc.",LA,WRKF-FM,"Public Radio, Inc. audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
the-friends-of-wwoz-inc,"The Friends of WWOZ, Inc.",LA,WWOZ-FM,"The Friends of WWOZ, Inc. audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
wicn-public-radio-inc,"WICN Public Radio, Inc.",MA,WICN-FM,"WICN Public Radio, Inc. audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
lower-cape-communications-inc,"Lower Cape Communications, Inc.",MA,WOMR-FM,"Lower Cape Communications, Inc. audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
friends-of-mvyradio-inc,"Friends of mvyradio, Inc.",MA,WMVY-FM,"Friends of mvyradio, Inc. audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
wypr-license-holding-llc,WYPR License Holding LLC,MD,WYPR-FM,WYPR License Holding LLC audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
salt-pond-community-broadcasting-co,Salt Pond Community Broadcasting Co.,ME,WERU-FM,Salt Pond Community Broadcasting Co. audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
interlochen-center-for-the-arts,Interlochen Center for the Arts,MI,WIAA-FM,Interlochen Center for the Arts audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
blue-lake-fine-arts-camp,Blue Lake Fine Arts Camp,MI,WBLV-FM,Blue Lake Fine Arts Camp audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
detroit-classical-and-jazz-educational-radio-llc,Detroit Classical and Jazz Educational Radio LLC,MI,WRCJ-FM,Detroit Classical and Jazz Educational Radio LLC audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
west-michigan-community-help-network,West Michigan Community Help Network,MI,WUVS-LP,West Michigan Community Help Network audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
minnesota-public-radio,Minnesota Public Radio,MN,KBPR-FM,Minnesota Public Radio audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
northern-community-radio-inc,"Northern Community Radio, Inc.",MN,KAXE-FM,"Northern Community Radio, Inc. audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
fresh-air-incorporated,Fresh Air Incorporated,MN,KFAI-FM,Fresh Air Incorporated audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
cook-county-community-radio-corporation,Cook County Community Radio Corporation,MN,WTIP-FM,Cook County Community Radio Corporation audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
center-for-communication-and-development,Center for Communication and Development,MN,KMOJ-FM,Center for Communication and Development audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
white-earth-land-recovery-project,White Earth Land Recovery Project,MN,KKWE-FM,White Earth Land Recovery Project audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
bois-forte-tribal-council,Bois Forte Tribal Council,MN,KBFT-FM,Bois Forte Tribal Council audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
leech-lake-band-of-ojibwe,Leech Lake Band of Ojibwe,MN,KOJB-FM,Leech Lake Band of Ojibwe audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
new-wave-corporation,New Wave Corporation,MO,KOPN-FM,New Wave Corporation audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
mid-coast-radio-project-inc,"Mid-Coast Radio Project, Inc.",MO,KKFI-FM,"Mid-Coast Radio Project, Inc. audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
double-helix-corporation,Double Helix Corporation,MO,KDHX-FM,Double Helix Corporation audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
western-north-carolina-public-radio-inc,"Western North Carolina Public Radio, Inc.",NC,WCQS-FM,"Western North Carolina Public Radio, Inc. audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
wunc-public-radio-llc,"WUNC Public Radio, LLC",NC,WUNC-FM,"WUNC Public Radio, LLC audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
friends-of-public-radio-inc,"Friends of Public Radio, Inc.",NC,WHQR-FM,"Friends of Public Radio, Inc. audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
keya-inc,"KEYA, Inc.",ND,KEYA-FM,"KEYA, Inc. audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
fort-berthold-communication-enterprise,Fort Berthold Communication Enterprise,ND,KMHA-FM,Fort Berthold Communication Enterprise audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
dakota-circle-tipi-inc,"Dakota Circle Tipi, Inc.",ND,KABU-FM,"Dakota Circle Tipi, Inc. audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
sunrise-communications-inc,"Sunrise Communications, Inc.",NE,KZUM-FM,"Sunrise Communications, Inc. audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
new-hampshire-public-radio-incorporated,"New Hampshire Public Radio, Incorporated",NH,"New Hampshire Public Radio, Inc.","New Hampshire Public Radio, Incorporated audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
newark-public-radio-inc,"Newark Public Radio, Inc.",NJ,WBGO-FM,"Newark Public Radio, Inc. audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
auricle-communications,Auricle Communications,NJ,WFMU-FM,Auricle Communications audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
jicarilla-apache-tribe,Jicarilla Apache Tribe,NM,KCIE-FM,Jicarilla Apache Tribe audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
ramah-navajo-school-board-inc,"Ramah Navajo School Board, Inc.",NM,KTDB-FM,"Ramah Navajo School Board, Inc. audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
zuni-communications-authority,Zuni Communications Authority,NM,KSHI-FM,Zuni Communications Authority audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
gallup-public-radio,Gallup Public Radio,NM,KGLP-FM,Gallup Public Radio audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
the-american-general-media-foundation,The American General Media Foundation,NM,KHFM-FM,The American General Media Foundation audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
nevada-public-radio,Nevada Public Radio,NV,KNPR-FM,Nevada Public Radio audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
wamc,WAMC,NY,WAMC-FM,WAMC audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
radio-catskill-inc,"Radio Catskill, Inc.",NY,WJFF-FM,"Radio Catskill, Inc. audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
cincinnati-public-radio-inc,"Cincinnati Public Radio, Inc.",OH,WGUC-FM,"Cincinnati Public Radio, Inc. audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
dayton-public-radio-inc,"Dayton Public Radio, Inc.",OH,WDPR-FM,"Dayton Public Radio, Inc. audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
miami-valley-public-media-inc,"Miami Valley Public Media, Inc.",OH,WYSO-FM,"Miami Valley Public Media, Inc. audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
maple-knoll-communities-inc,"Maple Knoll Communities, Inc.",OH,WMKV-FM,"Maple Knoll Communities, Inc. audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
tillicum-foundation,Tillicum Foundation,OR,KMUN-FM,Tillicum Foundation audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
the-kboo-foundation,The KBOO Foundation,OR,KBOO-FM,The KBOO Foundation audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
all-classical-public-media-inc,"All Classical Public Media, Inc.",OR,KQAC-FM,"All Classical Public Media, Inc. audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
confederated-tribes-of-warm-springs,Confederated Tribes of Warm Springs,OR,KWSO-FM,Confederated Tribes of Warm Springs audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
confederated-tribes-of-the-umatilla-indian-reserva,Confederated Tribes of the Umatilla Indian Reservation,OR,KCUW-LP,Confederated Tribes of the Umatilla Indian Reservation audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
lehigh-valley-community-broadcasters-association,Lehigh Valley Community Broadcasters Association,PA,WDIY-FM,Lehigh Valley Community Broadcasters Association audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
spanish-american-civic-association-for-equality-in,"Spanish American Civic Association for Equality, Inc.",PA,WLCH-FM,"Spanish American Civic Association for Equality, Inc. audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
pittsburgh-community-broadcasting-corporation,Pittsburgh Community Broadcasting Corporation,PA,WYEP-FM,Pittsburgh Community Broadcasting Corporation audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
rhode-island-public-radio,Rhode Island Public Radio,RI,WNPE-FM,Rhode Island Public Radio audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
lakota-communications-inc,"Lakota Communications, Inc.",SD,KILI-FM,"Lakota Communications, Inc. audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
seventh-generation-media-services-inc,"Seventh Generation Media Services, Inc.",SD,KLND-FM,"Seventh Generation Media Services, Inc. audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
native-american-community-board-inc,"Native American Community Board, Inc.",SD,KDKO-FM,"Native American Community Board, Inc. audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
rosebud-sioux-tribe,Rosebud Sioux Tribe,SD,KOYA-FM,Rosebud Sioux Tribe audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
nashville-public-radio,Nashville Public Radio,TN,WPLN-FM,Nashville Public Radio audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
cumberland-communities-communications-corporation,Cumberland Communities Communications Corporation,TN,WDVX-FM,Cumberland Communities Communications Corporation audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
marfa-public-radio-corporation,Marfa Public Radio Corporation,TX,KXWT-FM,Marfa Public Radio Corporation audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
brazos-valley-public-broadcasting-foundation,Brazos Valley Public Broadcasting Foundation,TX,KWBU-FM,Brazos Valley Public Broadcasting Foundation audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
capitol-broadcasting-association-inc,"Capitol Broadcasting Association, Inc.",TX,KMFA-FM,"Capitol Broadcasting Association, Inc. audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
community-wireless-of-park-city-inc,"Community Wireless of Park City, Inc.",UT,KPCW-FM,"Community Wireless of Park City, Inc. audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
listeners-community-radio-of-utah-inc,"Listeners Community Radio of Utah, Inc.",UT,KRCL-FM,"Listeners Community Radio of Utah, Inc. audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
virginia-tech-foundation-inc,"Virginia Tech Foundation, Inc.",VA,WVTF-FM,"Virginia Tech Foundation, Inc. audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
stu-comm-inc,"STU-COMM, Inc.",VA,WNRN-FM,"STU-COMM, Inc. audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
northwest-communities-education-center,Northwest Communities' Education Center,WA,KDNA-FM,Northwest Communities' Education Center audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
spokane-public-radio,Spokane Public Radio,WA,KPBX-FM,Spokane Public Radio audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
pacific-public-media,Pacific Public Media,WA,KNKX-FM,Pacific Public Media audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
classic-radio,Classic Radio,WA,KING-FM,Classic Radio audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
friends-of-kexp,Friends of KEXP,WA,KEXP-FM,Friends of KEXP audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
seattle-public-schools,Seattle Public Schools,WA,KNHC-FM,Seattle Public Schools audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
lac-courte-oreilles-ojibwa-public-broadcasting-cor,Lac Courte Oreilles Ojibwa Public Broadcasting Corporation,WI,WOJB-FM,Lac Courte Oreilles Ojibwa Public Broadcasting Corporation audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
back-porch-radio-broadcasting-inc,"Back Porch Radio Broadcasting, Inc.",WI,WORT-FM,"Back Porch Radio Broadcasting, Inc. audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
white-pine-community-broadcasting-inc,"White Pine Community Broadcasting, Inc.",WI,WXPR-FM,"White Pine Community Broadcasting, Inc. audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
pocahontas-communications-cooperative-corporation,Pocahontas Communications Cooperative Corporation,WV,WVMR-AM,Pocahontas Communications Cooperative Corporation audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
jackson-hole-community-radio-incorporated,"Jackson Hole Community Radio, Incorporated",WY,KHOL-FM,"Jackson Hole Community Radio, Incorporated audited financial statements public documents",candidate from 990 watchlist; page_url to be added after verification
npr,NPR,,,NPR audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
pbs,PBS,,,PBS audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
prx,PRX,,,PRX audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
american-public-television,American Public Television,,,American Public Television audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
america-s-public-television-stations,America's Public Television Stations,,,America's Public Television Stations audited financial statements public documents,candidate from 990 watchlist; page_url to be added after verification
