station_id,station_name,page_url,notes,enabled
whyy-inc,"WHYY, Inc.",https://whyy.org/financial-statements/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: WHYY, Inc. audited financial statements public documents | RESOLVED: Alias of WHYY legal entity; same financial statements page",1
wqed-multimedia,WQED Multimedia,https://www.wqed.org/public-documents/,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: WQED Multimedia audited financial statements public documents | UNVERIFIED_GUESS: likely financial/audit page URL; confirm before enabling | VERIFIED_ALIAS: WQED mapped to financials page | URL_UPDATED_2026-03-09_PASS2,1
northeastern-pennsylvania-educational-television-a,Northeastern Pennsylvania Educational Television Association,https://pennsylvaniapbs.org/about/,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Northeastern Pennsylvania Educational Television Association audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=11,0
sistema-universitario-ana-g-mendez-inc,"Sistema Universitario Ana G. Mendez, Inc.",https://agmu.edu/es/noticias/ana-g-mendez-university-participa-en-transitions-life,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Sistema Universitario Ana G. Mendez, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=9 | AUTO_DISCOVERY_REJECTED: non-station, article, or weak-match URL | AUTO_DISCOVERY_CANDIDATE score=10 | AUTO_DISCOVERY_REJECTED: non-station, directory, or article URL",0
puerto-rico-public-broadcasting-corporation,Puerto Rico Public Broadcasting Corporation,https://wipr.pr/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Puerto Rico Public Broadcasting Corporation audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=11 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain | AUTO_DISCOVERY_REJECTED: non-station, article, or weak-match URL | AUTO_DISCOVERY_REJECTED: non-station, directory, or article URL | AUTO_DISCOVERY_CANDIDATE score=9 | VERIFIED_MANUAL: WIPR site includes Documentos Publicos with financial statements/public files",1
rhode-island-pbs-foundation,Rhode Island PBS Foundation,https://www.ripbs.org/about/compliance,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Rhode Island PBS Foundation audited financial statements public documents | UNVERIFIED_GUESS: likely financial/audit page URL; confirm before enabling | VERIFIED: meetings & finance page with financial statement and CPB AFR links,1
the-greater-chattanooga-public-television-corporat,The Greater Chattanooga Public Television Corporation,https://www.greaterchattanooga.org/about,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: The Greater Chattanooga Public Television Corporation audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=13 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain | AUTO_DISCOVERY_CANDIDATE score=12 | AUTO_DISCOVERY_REJECTED: non-station, article, or weak-match URL | AUTO_DISCOVERY_REJECTED: non-station, directory, or article URL",0
west-tennessee-public-television-council-inc,"West Tennessee Public Television Council, Inc.",https://www.wkno.org/fcc-public-files/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: West Tennessee Public Television Council, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=9 | AUTO_DISCOVERY_REJECTED: non-station, article, or weak-match URL | AUTO_DISCOVERY_CANDIDATE score=11",0
the-mid-south-public-communications-foundation-inc,"The Mid-South Public Communications Foundation, Inc.",https://www.wkno.org/fcc-public-files/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: The Mid-South Public Communications Foundation, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=13 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain | AUTO_DISCOVERY_REJECTED: non-station, article, or weak-match URL | AUTO_DISCOVERY_CANDIDATE score=11",0
nashville-public-television-inc,"Nashville Public Television, Inc.",https://www.wnpt.org/about/public-information/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Nashville Public Television, Inc. audited financial statements public documents | UNVERIFIED_GUESS: likely financial/audit page URL; confirm before enabling | VERIFIED_ALIAS: Nashville PBS legal entity mapped to public files page | URL_UPDATED_2026-03-09_PASS2",1
upper-cumberland-broadcast-council,Upper Cumberland Broadcast Council,https://www.wcte.org/About/public-information/financial-reports/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Upper Cumberland Broadcast Council audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=13 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain | AUTO_DISCOVERY_CANDIDATE score=9 | AUTO_DISCOVERY_REJECTED: non-station, article, or weak-match URL | AUTO_DISCOVERY_CANDIDATE score=15 | AUTO_DISCOVERY_REJECTED: non-station, directory, or article URL",0
alamo-public-telecommunications-council,Alamo Public Telecommunications Council,https://pbs.klrn.org/aboutus/public-files,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Alamo Public Telecommunications Council audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=13,0
south-texas-public-broadcasting-system-inc,"South Texas Public Broadcasting System, Inc.",https://www.kedt.org/about-us/public-file-fcc-annual-report,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: South Texas Public Broadcasting System, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=13 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain | AUTO_DISCOVERY_CANDIDATE score=4 | AUTO_DISCOVERY_REJECTED: non-station, article, or weak-match URL",0
north-texas-public-broadcasting-inc,"North Texas Public Broadcasting, Inc.",https://texaspbs.org/about/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: North Texas Public Broadcasting, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=11 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain",0
permian-basin-public-telecommunications-inc,"Permian Basin Public Telecommunications, Inc.",https://pbt-permian.com/annual-qtrly-reports/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Permian Basin Public Telecommunications, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=13 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain | AUTO_DISCOVERY_CANDIDATE score=11 | AUTO_DISCOVERY_REJECTED: non-station, article, or weak-match URL | AUTO_DISCOVERY_CANDIDATE score=8 | AUTO_DISCOVERY_REJECTED: non-station, directory, or article URL | AUTO_DISCOVERY_CANDIDATE score=6",0
utah-state-board-of-regents,Utah State Board of Regents,https://www.uen.org/tv/cpb-compliance/financial.shtml,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Utah State Board of Regents audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=13 | AUTO_DISCOVERY_REJECTED: non-station, article, or weak-match URL | AUTO_DISCOVERY_CANDIDATE score=11 | AUTO_DISCOVERY_REJECTED: non-station, directory, or article URL | VERIFIED_MANUAL: KUEN/UEN CPB compliance financial page with AFR and annual audit links",1
the-greater-washington-educational-telecommunicati,"The Greater Washington Educational Telecommunications Association, Inc.",https://weta.org/about/reports,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: The Greater Washington Educational Telecommunications Association, Inc. audited financial statements public documents | RESOLVED: WETA legal entity name; reports page with audited financials",1
hampton-roads-educational-telecommunications-assoc,"Hampton Roads Educational Telecommunications Association, Inc.",https://www.whro.org/annual-reports/cpb-reports,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Hampton Roads Educational Telecommunications Association, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=13 | AUTO_DISCOVERY_REJECTED: non-station, article, or weak-match URL",0
vpm-media-corporation,VPM Media Corporation,https://www.vpm.org/vpm-open-financial-records-policy,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: VPM Media Corporation audited financial statements public documents | RESOLVED: VPM open financial records policy page with audit/financial records availability,1
blue-ridge-public-television-inc,"Blue Ridge Public Television, Inc.",https://www.bpr.org/about-bpr-blue-ridge-public-radio,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Blue Ridge Public Television, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=13 | AUTO_DISCOVERY_REJECTED: non-station, article, or weak-match URL | AUTO_DISCOVERY_CANDIDATE score=12",0
virgin-islands-public-broadcasting-system,Virgin Islands Public Broadcasting System,https://www.wtjx.org/about/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Virgin Islands Public Broadcasting System audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=11 | AUTO_DISCOVERY_REJECTED: non-station, article, or weak-match URL | AUTO_DISCOVERY_CANDIDATE score=13 | AUTO_DISCOVERY_REJECTED: non-station, directory, or article URL | VERIFIED_MANUAL: WTJX about page points to station public inspection file",1
vermont-public-co,Vermont Public Co.,https://www.vermontpublic.org/about-us,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Vermont Public Co. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=13 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain | AUTO_DISCOVERY_CANDIDATE score=10,0
cascade-public-media,Cascade Public Media,https://www.cascadepbs.org/about/,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Cascade Public Media audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=13 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain | AUTO_DISCOVERY_CANDIDATE score=11,0
friends-of-ksps,Friends of KSPS,https://www.ksps.org/about-ksps/,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Friends of KSPS audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=13 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain | AUTO_DISCOVERY_CANDIDATE score=11,0
koahnic-broadcast-corporation,Koahnic Broadcast Corporation,https://koahnic.org/public-reporting,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Koahnic Broadcast Corporation audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=11 | AUTO_DISCOVERY_REJECTED: non-station, article, or weak-match URL | AUTO_DISCOVERY_REJECTED: non-station, directory, or article URL | AUTO_DISCOVERY_CANDIDATE score=13 | VERIFIED_MANUAL: Koahnic public reporting page with audited statements and CPB AFR links",1
silakkuagvik-communications-inc,"Silakkuagvik Communications, Inc.",https://www.kbrw.org/about/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Silakkuagvik Communications, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=13 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain | AUTO_DISCOVERY_CANDIDATE score=9",0
gwandak-public-broadcasting-inc,"Gwandak Public Broadcasting, Inc.",https://kzparadio.org/about/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Gwandak Public Broadcasting, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=13 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain | AUTO_DISCOVERY_CANDIDATE score=11 | AUTO_DISCOVERY_REJECTED: non-station, article, or weak-match URL | AUTO_DISCOVERY_CANDIDATE score=9",0
big-river-public-broadcasting-corporation,Big River Public Broadcasting Corporation,https://kiyu.com/fcc-public-files/,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Big River Public Broadcasting Corporation audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=13 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain | AUTO_DISCOVERY_CANDIDATE score=11,0
lynn-canal-broadcasting,Lynn Canal Broadcasting,https://khns.org/about-khns/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Lynn Canal Broadcasting audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=11 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain | AUTO_DISCOVERY_CANDIDATE score=13 | AUTO_DISCOVERY_REJECTED: non-station, article, or weak-match URL | AUTO_DISCOVERY_CANDIDATE score=9 | AUTO_DISCOVERY_REJECTED: non-station, directory, or article URL",0
kachemak-bay-broadcasting-inc,"Kachemak Bay Broadcasting, Inc.",https://www.kbbi.org/bylaws-finances-and-reports,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Kachemak Bay Broadcasting, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=13 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain | VERIFIED_MANUAL: KBBI bylaws/finances/reports page includes AFR and audited financial reports",1
rainbird-community-broadcasting-corporation,Rainbird Community Broadcasting Corporation,https://www.krbd.org/category/community-reports/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Rainbird Community Broadcasting Corporation audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=13 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain | AUTO_DISCOVERY_CANDIDATE score=8 | AUTO_DISCOVERY_REJECTED: non-station, article, or weak-match URL | AUTO_DISCOVERY_CANDIDATE score=11",0
kodiak-public-broadcasting-corporation,Kodiak Public Broadcasting Corporation,https://kodiak.org/about/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Kodiak Public Broadcasting Corporation audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=11 | AUTO_DISCOVERY_REJECTED: non-station, article, or weak-match URL | AUTO_DISCOVERY_REJECTED: non-station, directory, or article URL",0
kotzebue-broadcasting-inc,"Kotzebue Broadcasting, Inc",https://www.kotz.org/eeo-public-file-report,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Kotzebue Broadcasting, Inc audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=9 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain | AUTO_DISCOVERY_CANDIDATE score=8",0
kuskokwim-public-broadcasting-corporation,Kuskokwim Public Broadcasting Corporation,https://alaskapublic.org/about/public-documents,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Kuskokwim Public Broadcasting Corporation audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=11,0
narrows-broadcasting-corporation,Narrows Broadcasting Corporation,https://www.whro.org/annual-reports/cpb-reports,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Narrows Broadcasting Corporation audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=13 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain | AUTO_DISCOVERY_REJECTED: non-station, article, or weak-match URL",0
aleutian-peninsula-broadcasting-inc,"Aleutian Peninsula Broadcasting, Inc.",https://www.apradio.org/fcc-public-inspection-files-aleutian-peninsula-broadcasting-inc-ksdp-am-kaeb-fm/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Aleutian Peninsula Broadcasting, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=13 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain | AUTO_DISCOVERY_CANDIDATE score=11",0
raven-radio-foundation-inc,"Raven Radio Foundation, Inc.",https://www.ravenfoundation.org/about-us/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Raven Radio Foundation, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=13 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain | AUTO_DISCOVERY_CANDIDATE score=11 | AUTO_DISCOVERY_REJECTED: non-station, article, or weak-match URL | AUTO_DISCOVERY_REJECTED: non-station, directory, or article URL",0
talkeetna-community-radio-inc,"Talkeetna Community Radio, Inc.",https://ktna.org/about/community-advisory-board/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Talkeetna Community Radio, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=11",0
unakleet-broadcasting-inc,"Unakleet Broadcasting, Inc.",https://knsaradio.org/about,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Unakleet Broadcasting, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=8",0
unalaska-community-broadcasting-inc,"Unalaska Community Broadcasting, Inc.",https://www.kucb.org/kucb.org/community,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Unalaska Community Broadcasting, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=13 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain | AUTO_DISCOVERY_CANDIDATE score=11 | AUTO_DISCOVERY_REJECTED: non-station, article, or weak-match URL | AUTO_DISCOVERY_CANDIDATE score=9",0
terminal-radio-inc,Terminal Radio Inc.,https://kchu.org/about/public-files,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Terminal Radio Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=13,0
coastalaska-inc,"CoastAlaska, Inc.",https://www.coastalaska.org/about/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: CoastAlaska, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=11",0
pickle-hill-public-broadcasting-inc,"Pickle Hill Public Broadcasting, Inc.",https://www.kdll.org/about,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Pickle Hill Public Broadcasting, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=11 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain | AUTO_DISCOVERY_REJECTED: non-station, article, or weak-match URL | AUTO_DISCOVERY_CANDIDATE score=8",0
athabascan-fiddlers-association-inc,"Athabascan Fiddlers Association, Inc.",https://www.krff891.com/public-files,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Athabascan Fiddlers Association, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=13 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain | AUTO_DISCOVERY_CANDIDATE score=10",0
foundation-for-creative-broadcasting-inc,"Foundation for Creative Broadcasting, Inc.",https://kxci.org/about/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Foundation for Creative Broadcasting, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=11 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain | AUTO_DISCOVERY_CANDIDATE score=9",0
apache-radio-broadcasting-corporation,Apache Radio Broadcasting Corporation,http://apacheradio.com/about/,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Apache Radio Broadcasting Corporation audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=10,0
the-hopi-foundation,The Hopi Foundation,https://www.hopifoundation.org/about/public-files,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: The Hopi Foundation audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=15,0
tuba-city-high-school-board-inc,"Tuba City High School Board, Inc.",https://www.greyhillsacademy.org/page/kghr-913-fm,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Tuba City High School Board, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=13 | AUTO_DISCOVERY_REJECTED: non-station, article, or weak-match URL | AUTO_DISCOVERY_CANDIDATE score=9 | AUTO_DISCOVERY_REJECTED: non-station, directory, or article URL | UNVERIFIED_GUESS: mapped from CPB call sign to likely station/owner site; verify financial/public-files page before enabling",1
tohono-o-odham-nation,Tohono O'odham Nation,https://www.waknet.org/about/public-files,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Tohono O'odham Nation audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=15 | AUTO_DISCOVERY_REJECTED: non-station, article, or weak-match URL | AUTO_DISCOVERY_CANDIDATE score=13",0
chico-state-enterprises,Chico State Enterprises,https://www.mynspr.org/governance-and-public-reports,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Chico State Enterprises audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=13 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain | AUTO_DISCOVERY_CANDIDATE score=11 | AUTO_DISCOVERY_REJECTED: non-station, directory, or article URL | AUTO_DISCOVERY_CANDIDATE score=9 | VERIFIED_MANUAL: NSPR governance/public reports page with audited financial statements",1
radio-bilingue-inc,"Radio Bilingue, Inc.",https://radiobilingue.org/about/public-files,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Radio Bilingue, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=15",0
hoopa-valley-tribe,Hoopa Valley Tribe,https://www.hoopa-nsn.gov/hoopa-valley-tribe-announces-new-and-returning-appointments-to-the-kimaw-medical-center-board-2/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Hoopa Valley Tribe audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=17 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain | AUTO_DISCOVERY_CANDIDATE score=13 | AUTO_DISCOVERY_REJECTED: non-station, directory, or article URL",0
nevada-city-community-broadcast-group,Nevada City Community Broadcast Group,https://www.kvmr.org/about/public-files,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Nevada City Community Broadcast Group audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=13 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain,0
mendocino-county-public-broadcasting,Mendocino County Public Broadcasting,https://www.kzyx.org/mcpb-bylaws-and-financial-statements,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Mendocino County Public Broadcasting audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=4 | AUTO_DISCOVERY_REJECTED: low-value/non-source domain | AUTO_DISCOVERY_CANDIDATE score=8 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain | VERIFIED_MANUAL: MCPB bylaws and financial statements page with audited statements and AFR links,1
redwood-community-radio,Redwood Community Radio,https://kmud.org/about/financial-information/,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Redwood Community Radio audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=9 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain | AUTO_DISCOVERY_CANDIDATE score=11,0
kcbx-inc,"KCBX, Inc.",https://www.kcbx.org/about-us,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: KCBX, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=13 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain | AUTO_DISCOVERY_CANDIDATE score=10",0
white-ash-broadcasting-inc,"White Ash Broadcasting, Inc.",https://www.kvpr.org/about,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: White Ash Broadcasting, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=13 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain | AUTO_DISCOVERY_CANDIDATE score=9 | AUTO_DISCOVERY_REJECTED: non-station, directory, or article URL | AUTO_DISCOVERY_CANDIDATE score=8",0
kwmr-inc,"KWMR, Inc.",https://kwmr.org/about/public-files,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: KWMR, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=15",0
golden-valley-community-broadcasters,Golden Valley Community Broadcasters,https://kzfr.org/pages/CPBcompliance,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Golden Valley Community Broadcasters audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=13 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain | AUTO_DISCOVERY_REJECTED: non-station, directory, or article URL | AUTO_DISCOVERY_CANDIDATE score=9",0
equal-rep-of-media-advocacy-corp,Equal Rep. of Media Advocacy Corp.,https://www.krza.org/public-file.html,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Equal Rep. of Media Advocacy Corp. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=13 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain | AUTO_DISCOVERY_CANDIDATE score=9 | AUTO_DISCOVERY_REJECTED: non-station, directory, or article URL | AUTO_DISCOVERY_CANDIDATE score=8 | UNVERIFIED_GUESS: mapped from CPB call sign to likely station/owner site; verify financial/public-files page before enabling",1
roaring-fork-public-radio-inc,"Roaring Fork Public Radio, Inc.",https://www.aspenpublicradio.org/public-files,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Roaring Fork Public Radio, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=10",0
carbondale-community-access-radio,Carbondale Community Access Radio,https://www.kdnk.org/about,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Carbondale Community Access Radio audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=13 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain | AUTO_DISCOVERY_CANDIDATE score=9 | AUTO_DISCOVERY_REJECTED: non-station, directory, or article URL | AUTO_DISCOVERY_CANDIDATE score=8",0
boulder-community-broadcast-association-inc,"Boulder Community Broadcast Association, Inc.",https://kgnu.org/about/reports,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Boulder Community Broadcast Association, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=11",0
community-radio-project-inc,"Community Radio Project, Inc.",http://communitypublicradio.org/about/public-files,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Community Radio Project, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=11 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain | AUTO_DISCOVERY_REJECTED: non-station, directory, or article URL | AUTO_DISCOVERY_CANDIDATE score=14",0
crested-butte-mountain-educational-radio-inc,Crested Butte Mountain Educational Radio Inc.,https://kbut.org/west-elk-word-2/west-elk-word-crested-butte-mountain-theatre-12-15-25/,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Crested Butte Mountain Educational Radio Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=13,0
public-broadcasting-of-colorado-inc,"Public Broadcasting of Colorado, Inc.",https://www.cpr.org/about/fcc-public-files/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Public Broadcasting of Colorado, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=13",0
community-radio-for-northern-colorado,Community Radio for Northern Colorado,https://www.cpr.org/about/fcc-public-files/,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: Community Radio for Northern Colorado audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=13 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain,0
kute-inc,"KUTE, Inc.",https://tribalradio.org/fcc-public-files/,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: KUTE, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=11 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain",0
north-fork-valley-public-radio-inc,"North Fork Valley Public Radio, Inc.",https://www.kvnf.org/north-fork-valley-public-radio-online-public-files,"UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: North Fork Valley Public Radio, Inc. audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=13 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain | AUTO_DISCOVERY_CANDIDATE score=14",0
san-miguel-educational-fund,San Miguel Educational Fund,https://koto.org/about/,UNRESOLVED: candidate from 990 watchlist; page_url to be added after verification | hint: San Miguel Educational Fund audited financial statements public documents | AUTO_DISCOVERY_CANDIDATE score=4 | AUTO_DISCOVERY_REJECTED: low-value/non-source domain | AUTO_DISCOVERY_CANDIDATE score=9 | AUTO_DISCOVERY_REJECTED: non-station or aggregator domain,0
